,Education,Key
14,ANDHRA EDUCATION SOCIETY,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNTcyNzU0OTg5NDIyMjQwXCJ9In0%3D
15,GAUTAM PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTI5MzMxOTg3MTA2MTQ4XCJ9In0%3D
16,YOG BHARTI PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMzY5MjQ3ODE5ODgzMDU3XCJ9In0%3D
17,ANAND PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTM0MTU5NzM2NjA4MTQ1XCJ9In0%3D
18,EAST DELHI PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTM5NTQwOTMzNTc5NzM2XCJ9In0%3D
19,FLORENCE PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTE1MTIwOTI1MTY5MDY4XCJ9In0%3D
20,MONALISA PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNjM2OTQxNTgzMDMyNDgzXCJ9In0%3D
21,LAKHI PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTAwNDU4MjU4MDg5NzYyXCJ9In0%3D
22,INDER PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTE3MDg5MDg1NjExNjA1XCJ9In0%3D
23,COSMOS PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTM3OTI4OTc5NTgwNTc1XCJ9In0%3D
24,EAST END PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMzc4ODc3MjYyNTEyMDg2XCJ9In0%3D
25,RYAN INTERNATIONAL SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTcxOTE2NDIyODU5NTI4XCJ9In0%3D
26,SARDAR PATEL MODERN SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTA0ODYyMzIwNTI4MTkyM1wifSJ9
27,MOTI MEMORIAL PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTc0Mzc0Mjk2MDQzNTA1XCJ9In0%3D
28,Indal Memorial Public School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjA5MzA4NzU5NTYzOTc0XCJ9In0%3D
29,St. Mary Secondary School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjIyOTI5MzcxMjExODI0XCJ9In0%3D
30,Vidya Bal Bhawan Public School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiODgwMjI5OTE4NzYwMTIxXCJ9In0%3D
31,EVERGREEN PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTMyNjcxMTU0MDEwMjkzXCJ9In0%3D
32,THE BAPTIST CONVENT SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiOTY0MDU1OTEzNjkyMTA2XCJ9In0%3D
33,S.N.MODERN SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiOTg3Mjc0ODg0NjM4Njc5XCJ9In0%3D
34,Mother Mary School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTY5NjcxMDAxMDU1NzcxMFwifSJ9
35,Kala Niketan International School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiODYxNzc2NTMzOTgzODQ1XCJ9In0%3D
36,Dashmesh Public School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTMxNjU5NTgzNTMyMDM0XCJ9In0%3D
37,BHARTI PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjQ3NDQ4NTI1MjgxMDU4XCJ9In0%3D
38,UNIVERSAL PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNjU0MjkzNzU0NzAzNDU3XCJ9In0%3D
39,Angels Public School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTAzMTQ2NzMxNTU0MTc1XCJ9In0%3D
40,Amity International School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTE2NjY1Mjg1MDc5OTQxXCJ9In0%3D
41,VIVEKANAND INTERNATIONAL SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTAzNTU5NDgzMzI1MTU3MVwifSJ9
42,Ahlcon International School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjQ3MzE3Nzg1MzYwODA3XCJ9In0%3D
43,Dinkar National Model School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjI0MTQ3OTkxMjc0NzYzMlwifSJ9
44,Delhi University,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMzY4NjU5Mzc2NTQxODkxXCJ9In0%3D
45,indraprastha institute of information technology delhi,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjMxMzg3OTkwMjExNTcyXCJ9In0%3D
46,Pearl Academy,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNjc5NzY2OTM4NzA5NjU3XCJ9In0%3D
47,Guru Gobind Singh Indraprastha University,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTEzNTIzMDY4NjU4NTU1XCJ9In0%3D
48,Amity University Uttar Pradesh,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTMxNTEyODYwMjE2NzA5XCJ9In0%3D
49,Delhi College Of Arts and Commerce,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTc1MjA3OTIyNTQyMzQ2XCJ9In0%3D
50,Sidheshwar High School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTEzMjgxMjE4NzA1OTM3XCJ9In0%3D
51,Lady Shri Ram College for Women,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTEyNTU2Njg4NzU1MzAyXCJ9In0%3D
52,St. Thomas University,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiODc1MjgwODQ2MjNcIn0ifQ%3D%3D
53,Bennett University,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiODc3Nzc1MTYyMjM1NTk2XCJ9In0%3D
54,VIPS,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTEyNjkyOTk1NDExMzAwXCJ9In0%3D
55,National Academy of Medical Sciences,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTM1MDQ0MTk1NTA4OTUwMFwifSJ9
56,Punjab University,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNDU1NTk5MTM3ODA2NjQ0XCJ9In0%3D
57,Sam Higginbottom Institute of Agriculture,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNzIyNzI1MjQxMTAwMzg2XCJ9In0%3D
58,Law Academy,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTA4OTcxMjU3Mzk3MDg1XCJ9In0%3D
59,Cambridge international school jalandhar,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjg3MDAwMjAxODMyMTY5XCJ9In0%3D
60,GD Goenka University,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNTY5NDAzMjE5NzY2Mzg1XCJ9In0%3D
61,NIFT Delhi,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTc5NTA2MTg1MzkzMzc2XCJ9In0%3D
62,NIFT,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTMxNjc3ODUzNTA5MTMwXCJ9In0%3D
63,ITM University Gwalior,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTk1MTg2OTMwNjg5NjUxXCJ9In0%3D
64,DSM Public Senior Secondary School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTk1NjAwNTgzNzkxMzAxXCJ9In0%3D
65,CBK Infotech India Pvt Ltd,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTgwMzIzMDc5NjU4NjE5NFwifSJ9
66,LG Electronics,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjM4MDg5NjcyOTgzNjIyXCJ9In0%3D
67,LPU,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTk0OTI3NzE2NTg5XCJ9In0%3D
