,Education,Key
28,"St Stephen's College, Delhi",eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTA2MDIwNDAyNzcwOTQ3XCJ9In0%3D
29,IIT Delhi,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjExOTI4MzQ1NTAxNDA0XCJ9In0%3D
30,Indian Agricultural Research Institute,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTA4MDM4MzM1ODkxMzkxXCJ9In0%3D
31,Delhi Technological University,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiOTg1MTMxODMxNTQ0MTQ0XCJ9In0%3D
32,National Law School of India University,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTQ2OTA5OTMwMDA2NTcxM1wifSJ9
33,NIT Rourkela,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTEwMjY3MzIyMzM1MjM2XCJ9In0%3D
34,PGDAV College,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNzM0NjY2NjMzMzgwNTM4XCJ9In0%3D
35,AIIMS,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTEyMDcwNTIyMTQ1ODMyXCJ9In0%3D
36,H.R.College,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTE0NzIyOTM1MjEwMDkzXCJ9In0%3D
37,GGSIPU,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTA4ODMwMTU5MTQ4MjM4XCJ9In0%3D
38,Bhaskaracharya College of Applied Sciences,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTIwNDkzNTU0NjM0OTQyXCJ9In0%3D
39,"National Museum Institute of the History of Art, Conservation and Museology",eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMzgyMTA4Mjg1MjcyMzkxXCJ9In0%3D
40,IGNOU,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTEyMDY5NTI1NDg1OTEyXCJ9In0%3D
41,"Indian Agricultural Research Institute, New Delhi",eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTA4MDM4MzM1ODkxMzkxXCJ9In0%3D
42,Gargi College,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNTI5MzA1NDMwNDE1NzU2XCJ9In0%3D
43,Indian Statistical Institute,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNTM2MzQzODk2Mzg1OTcyXCJ9In0%3D
44,Lady Shri Ram College,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTkwMTYzODkxMDAyNjk1XCJ9In0%3D
45,"Global Institute of Technology and Management, Gurgaon",eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjU0MDUwMzI0NjMwMDAyXCJ9In0%3D
46,National Institute of Fashion Technology,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTAxNDI3NzU2NTM1MDc1NlwifSJ9
